State,Votes,in_data,Default_Vote
Alabama,9,F,Trump
Alaska,3,T,
Arizona,11,T,
Arkansas,6,F,Trump
California,54,T,
Colorado,10,T,
Connecticut,7,T,
Delaware,3,F,Harris
DC,3,F,Harris
Florida,30,T,
Georgia,16,T,
Hawaii,4,F,Harris
Idaho,4,F,Trump
Illinois,19,F,Harris
Indiana,11,T,
Iowa,6,T,
Kansas,6,F,Trump
Kentucky,8,F,Trump
Louisiana,8,F,Trump
Maine,2,T,
Maine CD-1,1,T,
Maine CD-2,1,T,
Maryland,10,T,
Massachusetts,11,T,
Michigan,15,T,
Minnesota,10,T,
Mississippi,6,F,Trump
Missouri,10,T,
Montana,4,T,
Nebraska,2,T,
Nebraska CD-1,1,T,
Nebraska CD-2,1,T,
Nebraska CD-3,1,T,
Nevada,6,T,
New Hampshire,4,T,
New Jersey,14,T,
New Mexico,5,T,
New York,28,T,
North Carolina,16,T,
North Dakota,3,T,
Ohio,17,T,
Oklahoma,7,T,
Oregon,8,F,Harris
Pennsylvania,19,T,
Rhode Island,4,T,
South Carolina,9,T,
South Dakota,3,T,
Tennessee,11,T,
Texas,40,T,
Utah,6,T,
Vermont,3,F,Harris
Virginia,13,T,
Washington,12,T,
West Virginia,4,F,Trump
Wisconsin,10,T,
Wyoming,3,F,Trump
,538,,
